frame,vehicle_id,vehicle_bbox,vehicle_type,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
9,3,710.6083724501043 1419.0849643973809 1416.7057448438989 2066.5472134624215,car,935.3765258789062 1832.4049072265625 1177.8861083984375 1928.1412353515625,0.5784582495689392,N413NRU,0.4208676969164693
10,3,701.9183644074691 1423.551877376702 1410.7906602679927 2073.1102779929392,car,923.5907592773438 1831.7886962890625 1181.8697509765625 1942.950927734375,0.5649683475494385,N41JNRU,0.2854002770421503
11,3,698.1074136129002 1430.8679679812446 1408.537048870907 2082.021833819918,car,917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625,0.505068302154541,N413NRU,0.36696612511947435
12,3,694.834939564643 1436.7019821321026 1407.6190084959374 2089.519662326124,Unknown,921.644287109375 1850.17529296875 1169.5963745117188 1955.4545288085938,0,0,0
13,3,691.5624655163858 1442.5359962829605 1406.7009681209677 2097.01749083233,car,925.9462890625 1860.3262939453125 1170.804443359375 1966.883056640625,0.5571579933166504,M413NRU,0.29594527225509326
14,3,687.4056015587126 1450.3761862123329 1403.730886009283 2104.7026076685597,Unknown,927.2911071777344 1870.6902465820312 1165.25439453125 1974.8618774414062,0,0,0
15,3,683.2487376010395 1458.2163761417055 1400.7608038975986 2112.3877245047893,car,928.6359252929688 1881.05419921875 1159.704345703125 1982.8406982421875,0.5846607089042664,AN413NRU,0.2521710629609963
16,3,679.5990486366628 1463.506392646028 1400.7349832381005 2117.70105424421,car,924.328857421875 1882.8936767578125 1153.1334228515625 1989.9202880859375,0.6093677878379822,N413NRU,0.33168443213416915
17,3,675.418097981438 1472.9619320642846 1397.3410821945558 2127.1888295194567,Unknown,914.0357971191406 1892.1392211914062 1155.3297729492188 1998.3341674804688,0,0,0
18,3,671.2371473262133 1482.4174714825413 1393.9471811510111 2136.676604794703,car,903.7427368164062 1901.384765625 1157.526123046875 2006.748046875,0.5728073716163635,N413NRU,0.6375032724811441
19,3,669.585358583842 1491.0206925946165 1394.074277919951 2143.532366327516,car,917.968505859375 1911.1563720703125 1148.3724365234375 2009.7374267578125,0.6390044689178467,N41JNRU,0.28619695151827157
20,3,666.3377952310252 1496.874853203722 1392.7446447481234 2148.6519037277217,car,898.4423828125 1922.7484130859375 1131.793212890625 2019.0999755859375,0.614166259765625,N41]NRU,0.3050257964840772
21,3,660.3424840541477 1506.1709119103018 1388.3615622865439 2153.3481960587587,car,884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125,0.6199503540992737,N41]NRU,0.41863721623955125
22,3,656.088453610597 1510.2364485324629 1385.624699471789 2155.125408026606,car,872.0322875976562 1923.384521484375 1137.3692626953125 2037.88916015625,0.6461219787597656,N413NRU,0.33008745492928765
23,3,652.4759584516058 1515.6714953248543 1383.4697796278365 2156.1543928046467,unknown,910.2145385742188 1941.6591796875 1144.8201904296875 2045.091064453125,0.6566098928451538,N413MRU,0.6666394248171998
24,3,649.9763661861521 1520.5254259536978 1381.8506643975315 2156.1908414426325,unknown,871.8385620117188 1951.1964111328125 1131.603271484375 2066.682373046875,0.6297782063484192,N413NRU,0.5146506589699085
25,3,648.2378785541957 1525.9167065335182 1380.4295542707935 2156.275059853846,unknown,863.300537109375 1962.0970458984375 1134.5994873046875 2074.216796875,0.6193852424621582,N413MRU,0.4135518629503388
26,3,645.1772738484784 1533.234978687347 1380.250375441009 2157.465358897855,unknown,885.8932495117188 1976.162109375 1132.2506103515625 2081.061767578125,0.6076200604438782,N413NRU,0.4011095503290853
27,3,643.0805399927618 1540.4679768682463 1381.0043346280208 2157.0263587020477,unknown,855.1962890625 1977.8658447265625 1129.2432861328125 2092.04345703125,0.6642913222312927,N413NRU,0.1497150448743634
28,3,639.9584444352085 1546.5656576372653 1378.9820881889057 2156.873080443887,unknown,873.2217407226562 1982.525390625 1116.4901123046875 2092.09423828125,0.6683346629142761,N413MRU,0.46014957544480073
29,3,635.9166014548645 1554.447082585156 1375.216172099313 2157.3818864095983,unknown,858.9329223632812 1996.2850341796875 1119.795166015625 2105.770263671875,0.6548261046409607,N41]NRU,0.3161992320065971
30,3,634.7069396059284 1562.7809811173572 1372.5360180923321 2158.3866466861073,unknown,885.7263793945312 2018.2880859375 1093.0565185546875 2117.21630859375,0.668521523475647,N413NRU,0.24957879268584635
31,3,636.0598770709098 1568.4480188552725 1372.5390496626603 2157.4048339331953,unknown,873.2384643554688 2022.1483154296875 1119.32470703125 2125.7470703125,0.6970623135566711,N413NRU,0.12495202223399318
32,3,631.7399265114032 1577.5871662928512 1369.5475132905706 2156.9112260527936,unknown,838.1239013671875 2027.9073486328125 1110.9635009765625 2136.782470703125,0.6711316704750061,N4,]NRU
33,3,622.1021079110758 1584.9490597074991 1364.8300603354942 2156.16129131024,unknown,851.9326171875 2040.1622314453125 1122.056396484375 2151.592041015625,0.6496323347091675,N413NRU,0.3141797117112079
34,3,612.7729876572666 1590.2027467322941 1361.5781826753907 2155.2423981514116,unknown,861.25048828125 2047.534423828125 1123.2147216796875 2159.07861328125,0.6386065483093262,N413NPU,0.23301961064177748
35,3,604.5083614397529 1600.1793756396805 1357.927298262709 2156.8981415100975,unknown,856.07470703125 2065.391845703125 1110.7806396484375 2160.0,0.6332535147666931,M413MRU,0.4240920747672625
0,5,2195.68017578125 1157.049072265625 2786.025390625 1736.6319580078125,car,2407.13818359375 1551.4912109375 2576.4609375 1638.7039794921875,0.6013637185096741,NW51T5U,0.12525606532649286
1,5,2201.052238605014 1167.3780065078865 2783.497281999558 1739.9153114934222,car,2411.260986328125 1549.034912109375 2584.846435546875 1642.219482421875,0.5876848697662354,N0SIV5U,0.03040228061432524
2,5,2197.6978351881903 1170.3100414078929 2785.8683789343054 1747.884454557699,Unknown,2413.0442708333335 1557.8043619791667 2585.7847493489585 1646.1617838541667,0,0,0
3,5,2194.3434317713672 1173.2420763078992 2788.2394758690525 1755.8535976219755,Unknown,2414.8275553385415 1566.5738118489583 2586.7230631510415 1650.1040852864583,0,0,0
4,5,2190.9890283545437 1176.1741112079055 2790.6105728038 1763.8227406862522,car,2416.61083984375 1575.34326171875 2587.661376953125 1654.04638671875,0.571334958076477,HL51N5U,0.1690214782259741
5,5,2188.581198118599 1176.832557475576 2794.5778128912134 1768.76239149237,car,2408.718505859375 1582.39892578125 2585.8759765625 1661.4521484375,0.5514554381370544,4OTSIV5U,0.030054484329525472
6,5,2192.12193190337 1178.2913738763236 2806.091979838983 1774.1966287376176,Unknown,2411.2010498046875 1585.46044921875 2586.5853271484375 1666.96142578125,0,0,0
7,5,2195.6626656881413 1179.7501902770714 2817.6061467867535 1779.6308659828655,car,2413.68359375 1588.52197265625 2587.294677734375 1672.470703125,0.6153361797332764,M1V1V5U,0.051077957607545646
8,5,2196.0541209872513 1186.3320911771534 2822.6145101371444 1787.184139787124,Unknown,2417.32958984375 1592.5279541015625 2590.5535888671875 1681.4945068359375,0,0,0
9,5,2196.4455762863613 1192.9139920772357 2827.6228734875353 1794.7374135913826,car,2420.9755859375 1596.533935546875 2593.8125 1690.518310546875,0.6364390850067139,ML51V5U,0.4761421661483644
10,5,2196.31515086743 1195.41017295597 2826.2181141714045 1799.383402653819,car,2425.525146484375 1601.3408203125 2597.036376953125 1695.908935546875,0.6335136890411377,NLEIV5U,0.08455857697232946
11,5,2193.2994305438688 1199.0992710104697 2818.7501392489175 1804.0906032867902,unknown,2418.03173828125 1608.80859375 2596.042236328125 1700.7158203125,0.5458311438560486,MLEIV5U,0.13112678791306367
12,5,2194.145326195949 1204.5740565371318 2817.1224691994244 1809.975565373846,car,2425.58935546875 1618.761474609375 2596.2451171875 1701.1036376953125,0.5818625092506409,ML751V5V,0.1320103222200057
13,5,2194.70980260958 1209.7100844040951 2816.4938644886643 1814.5938534233896,car,2424.335693359375 1625.8406982421875 2597.409912109375 1709.0430908203125,0.6165910363197327,MDTIV5U,0.0890315980949873
14,5,2195.7674111936503 1213.720891155693 2817.5485441565934 1819.3669249501902,car,2423.824951171875 1634.689453125 2597.97802734375 1715.2305908203125,0.6465806365013123,MDTSIY5V,0.051219405701935686
15,5,2199.2585278627266 1221.2814207730517 2821.1414720993025 1828.0291061336002,car,2425.9013671875 1637.69091796875 2598.005859375 1721.92529296875,0.6484192609786987,N1TIV5U,0.043308841425975256
16,5,2200.15891926675 1226.4802127375128 2821.536625791722 1835.8937796974164,Unknown,2428.3121337890625 1639.4657592773438 2606.4404296875 1728.9992065429688,0,0,0
17,5,2201.059310670774 1231.679004701974 2821.9317794841418 1843.7584532612327,car,2430.722900390625 1641.2406005859375 2614.875 1736.0731201171875,0.6575095653533936,HD5IV5U,0.29887596743437095
18,5,2199.830606442479 1245.4881519751107 2825.079410092971 1856.5841350023925,car,2435.0068359375 1658.2518310546875 2616.334716796875 1748.2877197265625,0.6259393095970154,5LT515U,0.12571806625518164
19,5,2200.4906487835287 1250.5119480038652 2830.854509725954 1862.2561660499582,car,2433.158935546875 1659.5841064453125 2616.353271484375 1747.4366455078125,0.6172000169754028,MLZ51Y5U,0.294444241326524
20,5,2202.5670600714 1251.4891733578822 2836.6713965872095 1867.170802825095,Unknown,2434.1304931640625 1670.33056640625 2618.012451171875 1755.3777465820312,0,0,0
