frame,vehicle_id,vehicle_bbox,vehicle_type,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
138,1.0,[2045.3751772003163 1228.3097276470462 2617.2846351448434 1706.9410399533604],car,[2236.7529296875 1527.469970703125 2464.712646484375 1607.8291015625],0.5860781669616699,4P053E0,0.3613576962762411
139,1.0,[2048.6659382070184 1231.3829939241486 2620.3612686186625 1710.2110014153109],car,[2240.569091796875 1526.055908203125 2446.428955078125 1604.7235107421875],0.5471789836883545,4P053E0,0.11359438727161922
139,34.0,[2253.763628752281 1690.0529305721432 2998.59716169716 2162.9492596433874],unknown,[2514.61474609375 2060.369384765625 2750.913818359375 2160.0],0.5063413381576538,LM13VCV,0.39500065138337603
143,1.0,[2045.5496401998237 1242.9244019015123 2627.9739374600977 1736.2954644603228],car,[2240.93994140625 1537.928466796875 2454.860595703125 1624.91455078125],0.5332434177398682,4P053E0,0.2425824112801859
145,8.0,[1074.2163890914555 1148.255053727425 1589.2654645343544 1593.3632925794013],car,[1240.654296875 1407.79150390625 1401.1678466796875 1494.3992919921875],0.5768423676490784,KLAO5ZZK,0.07603738095805634
146,8.0,[1072.00303044956 1153.6123973744698 1586.8797165322421 1599.9476475869287],car,[1235.5191650390625 1414.203125 1399.9976806640625 1506.62451171875],0.5459837913513184,K1OSZZK,0.11498049231390947
147,8.0,[1068.2898603265207 1157.4784834275138 1584.4741890960618 1606.7895236407817],car,[1232.961181640625 1415.544921875 1402.956298828125 1511.8499755859375],0.537097156047821,RK05ZZK,0.27932260239709705
147,1.0,[2048.5806789492226 1260.7089721815837 2640.2137468161454 1764.1144620014084],car,[2256.1787109375 1573.505615234375 2470.367431640625 1656.5296630859375],0.509978711605072,4P053E0,0.18938027059301107
148,8.0,[1063.1011739051876 1160.2444181026417 1582.8294973086129 1611.0003539246854],car,[1230.4110107421875 1415.7169189453125 1399.90576171875 1510.2437744140625],0.5058448910713196,KH05ZZK,0.4979801023090846
152,1.0,[2050.5327987115343 1280.3007367802697 2658.1043648199884 1794.1545610789817],car,[2250.865478515625 1588.0821533203125 2462.944091796875 1671.7701416015625],0.5338016152381897,4P053E0,0.5841601573444111
163,8.0,[1024.9187847134322 1205.4145869961221 1568.0576294388761 1676.5927803240784],car,[1206.004638671875 1484.2178955078125 1382.173828125 1575.265625],0.5027006268501282,RH05ZTK,0.8470736242547448
164,1.0,[2060.724119335024 1333.0149675896896 2683.0163427759367 1866.0054029495836],car,[2278.4248046875 1660.6959228515625 2492.3974609375 1752.1904296875],0.5315107703208923,4POS3E0,0.35307739859863907
164,8.0,[1023.2178569311964 1210.0188389183763 1568.5331109789272 1682.229646488523],car,[1205.71875 1492.7490234375 1380.9737548828125 1577.30419921875],0.5145410299301147,KHOSZZK,0.13971678642158833
165,1.0,[2067.872633346464 1338.0003870866317 2686.757363318667 1874.8832614149755],unknown,[2275.8876953125 1667.8587646484375 2517.158447265625 1751.541259765625],0.541692316532135,4P053E0,0.24459964650983995
166,8.0,[1018.2277065222329 1220.878283713348 1567.798933821366 1694.3054435522185],car,[1204.2359619140625 1502.4356689453125 1375.745361328125 1592.2598876953125],0.5617663860321045,KHD5ZZK,0.33672742606340145
167,8.0,[1017.9935240311895 1226.6185767253562 1568.2817126976486 1700.4349666817777],car,[1193.7960205078125 1504.253662109375 1375.8922119140625 1594.3763427734375],0.5751585960388184,KHP5ZZK,0.23508616768570728
168,8.0,[1017.1286809370025 1230.0800765824167 1567.4992832949324 1705.9286625694238],car,[1194.2392578125 1507.7332763671875 1377.2235107421875 1604.4971923828125],0.5771690011024475,K4D5Z1K,0.3191748296013904
